,browsing2-2.pcap
423,"['10.152.152.11', 46960, '46.134.193.35', 443]"
424,"['46.134.193.35', 443, '10.152.152.11', 46960]"
425,"['46.134.193.35', 443, '10.152.152.11', 46960]"
426,"['10.152.152.11', 46960, '46.134.193.35', 443]"
427,"['46.134.193.35', 443, '10.152.152.11', 46960]"
428,"['10.152.152.11', 46960, '46.134.193.35', 443]"
429,"['46.134.193.35', 443, '10.152.152.11', 46960]"
430,"['10.152.152.11', 46960, '46.134.193.35', 443]"
431,"['46.134.193.35', 443, '10.152.152.11', 46960]"
432,"['46.134.193.35', 443, '10.152.152.11', 46960]"
433,"['10.152.152.11', 46960, '46.134.193.35', 443]"
434,"['46.134.193.35', 443, '10.152.152.11', 46960]"
435,"['46.134.193.35', 443, '10.152.152.11', 46960]"
436,"['10.152.152.11', 46960, '46.134.193.35', 443]"
437,"['46.134.193.35', 443, '10.152.152.11', 46960]"
438,"['46.134.193.35', 443, '10.152.152.11', 46960]"
439,"['46.134.193.35', 443, '10.152.152.11', 46960]"
440,"['46.134.193.35', 443, '10.152.152.11', 46960]"
441,"['10.152.152.11', 46960, '46.134.193.35', 443]"
442,"['46.134.193.35', 443, '10.152.152.11', 46960]"
443,"['10.152.152.11', 46960, '46.134.193.35', 443]"
444,"['46.134.193.35', 443, '10.152.152.11', 46960]"
445,"['10.152.152.11', 46960, '46.134.193.35', 443]"
446,"['46.134.193.35', 443, '10.152.152.11', 46960]"
447,"['46.134.193.35', 443, '10.152.152.11', 46960]"
448,"['10.152.152.11', 46960, '46.134.193.35', 443]"
449,"['46.134.193.35', 443, '10.152.152.11', 46960]"
450,"['46.134.193.35', 443, '10.152.152.11', 46960]"
451,"['10.152.152.11', 46960, '46.134.193.35', 443]"
452,"['46.134.193.35', 443, '10.152.152.11', 46960]"
453,"['10.152.152.11', 46960, '46.134.193.35', 443]"
454,"['46.134.193.35', 443, '10.152.152.11', 46960]"
455,"['46.134.193.35', 443, '10.152.152.11', 46960]"
456,"['10.152.152.11', 46960, '46.134.193.35', 443]"
457,"['46.134.193.35', 443, '10.152.152.11', 46960]"
458,"['46.134.193.35', 443, '10.152.152.11', 46960]"
459,"['10.152.152.11', 46960, '46.134.193.35', 443]"
