,spotifyAndrew.pcap
56,"['10.152.152.11', 57943, '80.239.178.40', 80]"
57,"['80.239.178.40', 80, '10.152.152.11', 57943]"
58,"['10.152.152.11', 57943, '80.239.178.40', 80]"
59,"['80.239.178.40', 80, '10.152.152.11', 57943]"
60,"['80.239.178.40', 80, '10.152.152.11', 57943]"
61,"['80.239.178.40', 80, '10.152.152.11', 57943]"
62,"['10.152.152.11', 57943, '80.239.178.40', 80]"
63,"['80.239.178.40', 80, '10.152.152.11', 57943]"
64,"['80.239.178.40', 80, '10.152.152.11', 57943]"
65,"['80.239.178.40', 80, '10.152.152.11', 57943]"
66,"['10.152.152.11', 57943, '80.239.178.40', 80]"
67,"['80.239.178.40', 80, '10.152.152.11', 57943]"
68,"['80.239.178.40', 80, '10.152.152.11', 57943]"
69,"['10.152.152.11', 57943, '80.239.178.40', 80]"
70,"['80.239.178.40', 80, '10.152.152.11', 57943]"
71,"['10.152.152.11', 57943, '80.239.178.40', 80]"
72,"['80.239.178.40', 80, '10.152.152.11', 57943]"
73,"['10.152.152.11', 57943, '80.239.178.40', 80]"
74,"['80.239.178.40', 80, '10.152.152.11', 57943]"
75,"['80.239.178.40', 80, '10.152.152.11', 57943]"
76,"['80.239.178.40', 80, '10.152.152.11', 57943]"
77,"['10.152.152.11', 57943, '80.239.178.40', 80]"
78,"['80.239.178.40', 80, '10.152.152.11', 57943]"
79,"['10.152.152.11', 57943, '80.239.178.40', 80]"
80,"['80.239.178.40', 80, '10.152.152.11', 57943]"
81,"['80.239.178.40', 80, '10.152.152.11', 57943]"
82,"['80.239.178.40', 80, '10.152.152.11', 57943]"
83,"['10.152.152.11', 57943, '80.239.178.40', 80]"
84,"['80.239.178.40', 80, '10.152.152.11', 57943]"
85,"['80.239.178.40', 80, '10.152.152.11', 57943]"
86,"['10.152.152.11', 57943, '80.239.178.40', 80]"
87,"['80.239.178.40', 80, '10.152.152.11', 57943]"
88,"['10.152.152.11', 57943, '80.239.178.40', 80]"
89,"['80.239.178.40', 80, '10.152.152.11', 57943]"
90,"['80.239.178.40', 80, '10.152.152.11', 57943]"
91,"['10.152.152.11', 57943, '80.239.178.40', 80]"
92,"['80.239.178.40', 80, '10.152.152.11', 57943]"
93,"['80.239.178.40', 80, '10.152.152.11', 57943]"
94,"['10.152.152.11', 57943, '80.239.178.40', 80]"
95,"['80.239.178.40', 80, '10.152.152.11', 57943]"
96,"['80.239.178.40', 80, '10.152.152.11', 57943]"
97,"['80.239.178.40', 80, '10.152.152.11', 57943]"
98,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
99,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
100,"['10.152.152.11', 57943, '80.239.178.40', 80]"
101,"['80.239.178.40', 80, '10.152.152.11', 57943]"
102,"['10.152.152.11', 57943, '80.239.178.40', 80]"
103,"['80.239.178.40', 80, '10.152.152.11', 57943]"
104,"['10.152.152.11', 57943, '80.239.178.40', 80]"
105,"['80.239.178.40', 80, '10.152.152.11', 57943]"
106,"['10.152.152.11', 57943, '80.239.178.40', 80]"
107,"['80.239.178.40', 80, '10.152.152.11', 57943]"
108,"['10.152.152.11', 57943, '80.239.178.40', 80]"
109,"['80.239.178.40', 80, '10.152.152.11', 57943]"
110,"['10.152.152.11', 57943, '80.239.178.40', 80]"
111,"['80.239.178.40', 80, '10.152.152.11', 57943]"
112,"['80.239.178.40', 80, '10.152.152.11', 57943]"
113,"['10.152.152.11', 57943, '80.239.178.40', 80]"
114,"['80.239.178.40', 80, '10.152.152.11', 57943]"
115,"['80.239.178.40', 80, '10.152.152.11', 57943]"
116,"['10.152.152.11', 57943, '80.239.178.40', 80]"
117,"['80.239.178.40', 80, '10.152.152.11', 57943]"
118,"['10.152.152.11', 57943, '80.239.178.40', 80]"
119,"['80.239.178.40', 80, '10.152.152.11', 57943]"
120,"['80.239.178.40', 80, '10.152.152.11', 57943]"
121,"['80.239.178.40', 80, '10.152.152.11', 57943]"
122,"['10.152.152.11', 57943, '80.239.178.40', 80]"
123,"['80.239.178.40', 80, '10.152.152.11', 57943]"
124,"['10.152.152.11', 57943, '80.239.178.40', 80]"
125,"['80.239.178.40', 80, '10.152.152.11', 57943]"
126,"['80.239.178.40', 80, '10.152.152.11', 57943]"
127,"['80.239.178.40', 80, '10.152.152.11', 57943]"
128,"['10.152.152.11', 57943, '80.239.178.40', 80]"
129,"['80.239.178.40', 80, '10.152.152.11', 57943]"
130,"['80.239.178.40', 80, '10.152.152.11', 57943]"
131,"['10.152.152.11', 57943, '80.239.178.40', 80]"
132,"['80.239.178.40', 80, '10.152.152.11', 57943]"
133,"['10.152.152.11', 57943, '80.239.178.40', 80]"
134,"['80.239.178.40', 80, '10.152.152.11', 57943]"
135,"['10.152.152.11', 57943, '80.239.178.40', 80]"
136,"['80.239.178.40', 80, '10.152.152.11', 57943]"
137,"['80.239.178.40', 80, '10.152.152.11', 57943]"
138,"['80.239.178.40', 80, '10.152.152.11', 57943]"
139,"['10.152.152.11', 57943, '80.239.178.40', 80]"
140,"['80.239.178.40', 80, '10.152.152.11', 57943]"
141,"['10.152.152.11', 57943, '80.239.178.40', 80]"
142,"['80.239.178.40', 80, '10.152.152.11', 57943]"
143,"['80.239.178.40', 80, '10.152.152.11', 57943]"
144,"['80.239.178.40', 80, '10.152.152.11', 57943]"
145,"['10.152.152.11', 57943, '80.239.178.40', 80]"
146,"['80.239.178.40', 80, '10.152.152.11', 57943]"
147,"['10.152.152.11', 57943, '80.239.178.40', 80]"
148,"['80.239.178.40', 80, '10.152.152.11', 57943]"
149,"['80.239.178.40', 80, '10.152.152.11', 57943]"
150,"['80.239.178.40', 80, '10.152.152.11', 57943]"
151,"['10.152.152.11', 57943, '80.239.178.40', 80]"
152,"['80.239.178.40', 80, '10.152.152.11', 57943]"
153,"['80.239.178.40', 80, '10.152.152.11', 57943]"
154,"['10.152.152.11', 57943, '80.239.178.40', 80]"
155,"['80.239.178.40', 80, '10.152.152.11', 57943]"
156,"['10.152.152.11', 57943, '80.239.178.40', 80]"
157,"['80.239.178.40', 80, '10.152.152.11', 57943]"
158,"['80.239.178.40', 80, '10.152.152.11', 57943]"
159,"['80.239.178.40', 80, '10.152.152.11', 57943]"
160,"['10.152.152.11', 57943, '80.239.178.40', 80]"
161,"['80.239.178.40', 80, '10.152.152.11', 57943]"
162,"['80.239.178.40', 80, '10.152.152.11', 57943]"
163,"['10.152.152.11', 57943, '80.239.178.40', 80]"
164,"['80.239.178.40', 80, '10.152.152.11', 57943]"
165,"['10.152.152.11', 57943, '80.239.178.40', 80]"
166,"['80.239.178.40', 80, '10.152.152.11', 57943]"
167,"['10.152.152.11', 57943, '80.239.178.40', 80]"
168,"['80.239.178.40', 80, '10.152.152.11', 57943]"
169,"['80.239.178.40', 80, '10.152.152.11', 57943]"
170,"['80.239.178.40', 80, '10.152.152.11', 57943]"
171,"['10.152.152.11', 57943, '80.239.178.40', 80]"
172,"['80.239.178.40', 80, '10.152.152.11', 57943]"
173,"['80.239.178.40', 80, '10.152.152.11', 57943]"
174,"['10.152.152.11', 57943, '80.239.178.40', 80]"
175,"['80.239.178.40', 80, '10.152.152.11', 57943]"
176,"['10.152.152.11', 57943, '80.239.178.40', 80]"
177,"['80.239.178.40', 80, '10.152.152.11', 57943]"
178,"['80.239.178.40', 80, '10.152.152.11', 57943]"
179,"['80.239.178.40', 80, '10.152.152.11', 57943]"
180,"['10.152.152.11', 57943, '80.239.178.40', 80]"
181,"['80.239.178.40', 80, '10.152.152.11', 57943]"
182,"['80.239.178.40', 80, '10.152.152.11', 57943]"
183,"['10.152.152.11', 57943, '80.239.178.40', 80]"
184,"['80.239.178.40', 80, '10.152.152.11', 57943]"
185,"['10.152.152.11', 57943, '80.239.178.40', 80]"
186,"['80.239.178.40', 80, '10.152.152.11', 57943]"
187,"['10.152.152.11', 57943, '80.239.178.40', 80]"
188,"['80.239.178.40', 80, '10.152.152.11', 57943]"
189,"['80.239.178.40', 80, '10.152.152.11', 57943]"
190,"['80.239.178.40', 80, '10.152.152.11', 57943]"
191,"['10.152.152.11', 57943, '80.239.178.40', 80]"
192,"['80.239.178.40', 80, '10.152.152.11', 57943]"
193,"['80.239.178.40', 80, '10.152.152.11', 57943]"
194,"['10.152.152.11', 57943, '80.239.178.40', 80]"
195,"['80.239.178.40', 80, '10.152.152.11', 57943]"
196,"['10.152.152.11', 57943, '80.239.178.40', 80]"
197,"['80.239.178.40', 80, '10.152.152.11', 57943]"
198,"['80.239.178.40', 80, '10.152.152.11', 57943]"
199,"['80.239.178.40', 80, '10.152.152.11', 57943]"
200,"['10.152.152.11', 57943, '80.239.178.40', 80]"
201,"['80.239.178.40', 80, '10.152.152.11', 57943]"
202,"['80.239.178.40', 80, '10.152.152.11', 57943]"
203,"['10.152.152.11', 57943, '80.239.178.40', 80]"
204,"['80.239.178.40', 80, '10.152.152.11', 57943]"
205,"['10.152.152.11', 57943, '80.239.178.40', 80]"
206,"['80.239.178.40', 80, '10.152.152.11', 57943]"
207,"['10.152.152.11', 57943, '80.239.178.40', 80]"
208,"['80.239.178.40', 80, '10.152.152.11', 57943]"
209,"['80.239.178.40', 80, '10.152.152.11', 57943]"
210,"['80.239.178.40', 80, '10.152.152.11', 57943]"
211,"['10.152.152.11', 57943, '80.239.178.40', 80]"
212,"['80.239.178.40', 80, '10.152.152.11', 57943]"
213,"['10.152.152.11', 57943, '80.239.178.40', 80]"
214,"['10.152.152.11', 'xxxx', '10.152.191.255', 'xxxx']"
215,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
216,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
217,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
218,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
219,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
220,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
221,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
222,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
223,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
224,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
225,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
226,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
227,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
228,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
229,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
230,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
231,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
232,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
233,"['10.152.152.11', 'xxxx', '10.152.191.255', 'xxxx']"
234,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
235,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
236,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
237,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
238,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
239,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
240,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
241,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
242,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
243,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
244,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
245,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
246,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
247,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
248,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
249,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
250,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
251,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
252,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
253,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
254,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
255,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
256,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
257,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
258,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
259,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
260,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
261,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
262,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
263,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
264,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
265,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
266,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
267,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
268,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
269,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
270,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
271,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
272,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
273,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
274,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
275,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
276,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
277,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
278,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
279,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
280,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
281,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
282,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
283,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
284,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
285,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
286,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
287,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
288,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
289,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
290,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
291,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
292,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
293,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
294,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
295,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
296,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
297,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
298,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
299,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
300,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
301,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
302,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
303,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
304,"['10.152.152.11', 'xxxx', '10.152.191.255', 'xxxx']"
305,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
306,"['10.152.152.11', 45412, '68.232.34.151', 80]"
307,"['68.232.34.151', 80, '10.152.152.11', 45412]"
308,"['10.152.152.11', 45412, '68.232.34.151', 80]"
309,"['10.152.152.11', 45412, '68.232.34.151', 80]"
310,"['68.232.34.151', 80, '10.152.152.11', 45412]"
311,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
312,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
313,"['68.232.34.151', 80, '10.152.152.11', 45412]"
314,"['10.152.152.11', 45412, '68.232.34.151', 80]"
315,"['68.232.34.151', 80, '10.152.152.11', 45412]"
316,"['10.152.152.11', 45412, '68.232.34.151', 80]"
317,"['68.232.34.151', 80, '10.152.152.11', 45412]"
318,"['10.152.152.11', 45412, '68.232.34.151', 80]"
319,"['68.232.34.151', 80, '10.152.152.11', 45412]"
320,"['10.152.152.11', 45412, '68.232.34.151', 80]"
321,"['68.232.34.151', 80, '10.152.152.11', 45412]"
322,"['10.152.152.11', 45412, '68.232.34.151', 80]"
323,"['68.232.34.151', 80, '10.152.152.11', 45412]"
324,"['10.152.152.11', 45412, '68.232.34.151', 80]"
325,"['68.232.34.151', 80, '10.152.152.11', 45412]"
326,"['10.152.152.11', 45412, '68.232.34.151', 80]"
327,"['68.232.34.151', 80, '10.152.152.11', 45412]"
328,"['10.152.152.11', 45412, '68.232.34.151', 80]"
329,"['68.232.34.151', 80, '10.152.152.11', 45412]"
330,"['10.152.152.11', 45412, '68.232.34.151', 80]"
331,"['68.232.34.151', 80, '10.152.152.11', 45412]"
332,"['10.152.152.11', 45412, '68.232.34.151', 80]"
333,"['68.232.34.151', 80, '10.152.152.11', 45412]"
334,"['10.152.152.11', 45412, '68.232.34.151', 80]"
335,"['68.232.34.151', 80, '10.152.152.11', 45412]"
336,"['10.152.152.11', 45412, '68.232.34.151', 80]"
337,"['68.232.34.151', 80, '10.152.152.11', 45412]"
338,"['10.152.152.11', 45412, '68.232.34.151', 80]"
339,"['68.232.34.151', 80, '10.152.152.11', 45412]"
340,"['68.232.34.151', 80, '10.152.152.11', 45412]"
341,"['68.232.34.151', 80, '10.152.152.11', 45412]"
342,"['10.152.152.11', 45412, '68.232.34.151', 80]"
343,"['68.232.34.151', 80, '10.152.152.11', 45412]"
344,"['68.232.34.151', 80, '10.152.152.11', 45412]"
345,"['68.232.34.151', 80, '10.152.152.11', 45412]"
346,"['10.152.152.11', 45412, '68.232.34.151', 80]"
347,"['68.232.34.151', 80, '10.152.152.11', 45412]"
348,"['68.232.34.151', 80, '10.152.152.11', 45412]"
349,"['68.232.34.151', 80, '10.152.152.11', 45412]"
350,"['10.152.152.11', 45412, '68.232.34.151', 80]"
351,"['68.232.34.151', 80, '10.152.152.11', 45412]"
352,"['10.152.152.11', 45412, '68.232.34.151', 80]"
353,"['68.232.34.151', 80, '10.152.152.11', 45412]"
354,"['68.232.34.151', 80, '10.152.152.11', 45412]"
355,"['68.232.34.151', 80, '10.152.152.11', 45412]"
356,"['10.152.152.11', 45412, '68.232.34.151', 80]"
357,"['68.232.34.151', 80, '10.152.152.11', 45412]"
358,"['68.232.34.151', 80, '10.152.152.11', 45412]"
359,"['10.152.152.11', 45412, '68.232.34.151', 80]"
360,"['68.232.34.151', 80, '10.152.152.11', 45412]"
361,"['68.232.34.151', 80, '10.152.152.11', 45412]"
362,"['10.152.152.11', 45412, '68.232.34.151', 80]"
363,"['68.232.34.151', 80, '10.152.152.11', 45412]"
364,"['68.232.34.151', 80, '10.152.152.11', 45412]"
365,"['10.152.152.11', 45412, '68.232.34.151', 80]"
366,"['68.232.34.151', 80, '10.152.152.11', 45412]"
367,"['68.232.34.151', 80, '10.152.152.11', 45412]"
368,"['68.232.34.151', 80, '10.152.152.11', 45412]"
369,"['10.152.152.11', 45412, '68.232.34.151', 80]"
370,"['68.232.34.151', 80, '10.152.152.11', 45412]"
371,"['68.232.34.151', 80, '10.152.152.11', 45412]"
372,"['68.232.34.151', 80, '10.152.152.11', 45412]"
373,"['68.232.34.151', 80, '10.152.152.11', 45412]"
374,"['10.152.152.11', 45412, '68.232.34.151', 80]"
375,"['68.232.34.151', 80, '10.152.152.11', 45412]"
376,"['10.152.152.11', 45412, '68.232.34.151', 80]"
377,"['68.232.34.151', 80, '10.152.152.11', 45412]"
378,"['10.152.152.11', 45412, '68.232.34.151', 80]"
379,"['68.232.34.151', 80, '10.152.152.11', 45412]"
380,"['10.152.152.11', 45412, '68.232.34.151', 80]"
381,"['68.232.34.151', 80, '10.152.152.11', 45412]"
382,"['10.152.152.11', 45412, '68.232.34.151', 80]"
383,"['68.232.34.151', 80, '10.152.152.11', 45412]"
384,"['10.152.152.11', 45412, '68.232.34.151', 80]"
385,"['68.232.34.151', 80, '10.152.152.11', 45412]"
386,"['10.152.152.11', 45412, '68.232.34.151', 80]"
387,"['68.232.34.151', 80, '10.152.152.11', 45412]"
388,"['10.152.152.11', 45412, '68.232.34.151', 80]"
389,"['68.232.34.151', 80, '10.152.152.11', 45412]"
390,"['10.152.152.11', 45412, '68.232.34.151', 80]"
391,"['68.232.34.151', 80, '10.152.152.11', 45412]"
392,"['68.232.34.151', 80, '10.152.152.11', 45412]"
393,"['10.152.152.11', 45412, '68.232.34.151', 80]"
394,"['68.232.34.151', 80, '10.152.152.11', 45412]"
395,"['10.152.152.11', 45412, '68.232.34.151', 80]"
396,"['68.232.34.151', 80, '10.152.152.11', 45412]"
397,"['68.232.34.151', 80, '10.152.152.11', 45412]"
398,"['10.152.152.11', 45412, '68.232.34.151', 80]"
399,"['68.232.34.151', 80, '10.152.152.11', 45412]"
400,"['10.152.152.11', 45412, '68.232.34.151', 80]"
401,"['68.232.34.151', 80, '10.152.152.11', 45412]"
402,"['10.152.152.11', 45412, '68.232.34.151', 80]"
403,"['68.232.34.151', 80, '10.152.152.11', 45412]"
404,"['68.232.34.151', 80, '10.152.152.11', 45412]"
405,"['10.152.152.11', 45412, '68.232.34.151', 80]"
406,"['68.232.34.151', 80, '10.152.152.11', 45412]"
407,"['10.152.152.11', 45412, '68.232.34.151', 80]"
408,"['68.232.34.151', 80, '10.152.152.11', 45412]"
409,"['68.232.34.151', 80, '10.152.152.11', 45412]"
410,"['10.152.152.11', 45412, '68.232.34.151', 80]"
411,"['68.232.34.151', 80, '10.152.152.11', 45412]"
412,"['10.152.152.11', 45412, '68.232.34.151', 80]"
413,"['68.232.34.151', 80, '10.152.152.11', 45412]"
414,"['68.232.34.151', 80, '10.152.152.11', 45412]"
415,"['10.152.152.11', 45412, '68.232.34.151', 80]"
416,"['68.232.34.151', 80, '10.152.152.11', 45412]"
417,"['10.152.152.11', 45412, '68.232.34.151', 80]"
418,"['68.232.34.151', 80, '10.152.152.11', 45412]"
419,"['68.232.34.151', 80, '10.152.152.11', 45412]"
420,"['10.152.152.11', 45412, '68.232.34.151', 80]"
421,"['68.232.34.151', 80, '10.152.152.11', 45412]"
422,"['10.152.152.11', 45412, '68.232.34.151', 80]"
423,"['68.232.34.151', 80, '10.152.152.11', 45412]"
424,"['10.152.152.11', 45412, '68.232.34.151', 80]"
425,"['68.232.34.151', 80, '10.152.152.11', 45412]"
426,"['10.152.152.11', 45412, '68.232.34.151', 80]"
427,"['68.232.34.151', 80, '10.152.152.11', 45412]"
428,"['10.152.152.11', 45412, '68.232.34.151', 80]"
429,"['68.232.34.151', 80, '10.152.152.11', 45412]"
430,"['10.152.152.11', 45412, '68.232.34.151', 80]"
431,"['68.232.34.151', 80, '10.152.152.11', 45412]"
432,"['10.152.152.11', 45412, '68.232.34.151', 80]"
433,"['68.232.34.151', 80, '10.152.152.11', 45412]"
434,"['10.152.152.11', 45412, '68.232.34.151', 80]"
435,"['68.232.34.151', 80, '10.152.152.11', 45412]"
436,"['10.152.152.11', 45412, '68.232.34.151', 80]"
437,"['68.232.34.151', 80, '10.152.152.11', 45412]"
438,"['68.232.34.151', 80, '10.152.152.11', 45412]"
439,"['10.152.152.11', 45412, '68.232.34.151', 80]"
440,"['68.232.34.151', 80, '10.152.152.11', 45412]"
441,"['10.152.152.11', 45412, '68.232.34.151', 80]"
442,"['68.232.34.151', 80, '10.152.152.11', 45412]"
443,"['68.232.34.151', 80, '10.152.152.11', 45412]"
444,"['10.152.152.11', 45412, '68.232.34.151', 80]"
445,"['68.232.34.151', 80, '10.152.152.11', 45412]"
446,"['10.152.152.11', 45412, '68.232.34.151', 80]"
447,"['68.232.34.151', 80, '10.152.152.11', 45412]"
448,"['10.152.152.11', 45412, '68.232.34.151', 80]"
449,"['68.232.34.151', 80, '10.152.152.11', 45412]"
450,"['68.232.34.151', 80, '10.152.152.11', 45412]"
451,"['10.152.152.11', 45412, '68.232.34.151', 80]"
452,"['68.232.34.151', 80, '10.152.152.11', 45412]"
453,"['68.232.34.151', 80, '10.152.152.11', 45412]"
454,"['68.232.34.151', 80, '10.152.152.11', 45412]"
455,"['68.232.34.151', 80, '10.152.152.11', 45412]"
456,"['68.232.34.151', 80, '10.152.152.11', 45412]"
457,"['68.232.34.151', 80, '10.152.152.11', 45412]"
458,"['68.232.34.151', 80, '10.152.152.11', 45412]"
