,facebookchat.pcap
83,"['216.58.208.78', 443, '10.152.152.11', 34073]"
84,"['2.16.162.49', 443, '10.152.152.11', 56716]"
85,"['10.152.152.11', 56716, '2.16.162.49', 443]"
86,"['2.16.162.49', 443, '10.152.152.11', 56716]"
87,"['2.16.162.49', 443, '10.152.152.11', 56714]"
88,"['10.152.152.11', 56714, '2.16.162.49', 443]"
89,"['2.16.162.49', 443, '10.152.152.11', 56714]"
90,"['10.152.152.11', 56716, '2.16.162.49', 443]"
91,"['10.152.152.11', 56714, '2.16.162.49', 443]"
92,"['2.16.162.49', 443, '10.152.152.11', 56690]"
93,"['2.16.162.49', 443, '10.152.152.11', 56690]"
94,"['2.16.162.49', 443, '10.152.152.11', 56717]"
95,"['10.152.152.11', 56717, '2.16.162.49', 443]"
96,"['2.16.162.49', 443, '10.152.152.11', 56717]"
97,"['10.152.152.11', 56690, '2.16.162.49', 443]"
98,"['10.152.152.11', 56717, '2.16.162.49', 443]"
99,"['10.152.152.11', 56690, '2.16.162.49', 443]"
100,"['2.16.162.49', 443, '10.152.152.11', 56690]"
101,"['10.152.152.11', 56717, '2.16.162.49', 443]"
102,"['2.16.162.49', 443, '10.152.152.11', 56717]"
103,"['10.152.152.11', 56716, '2.16.162.49', 443]"
104,"['2.16.162.49', 443, '10.152.152.11', 56716]"
105,"['10.152.152.11', 56714, '2.16.162.49', 443]"
106,"['2.16.162.49', 443, '10.152.152.11', 56714]"
107,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
108,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
109,"['10.152.152.11', 59684, '31.13.90.2', 443]"
110,"['31.13.90.2', 443, '10.152.152.11', 59684]"
111,"['10.152.152.11', 59684, '31.13.90.2', 443]"
112,"['10.152.152.11', 59684, '31.13.90.2', 443]"
113,"['31.13.90.2', 443, '10.152.152.11', 59684]"
114,"['31.13.90.2', 443, '10.152.152.11', 59684]"
115,"['31.13.90.2', 443, '10.152.152.11', 59684]"
116,"['10.152.152.11', 59684, '31.13.90.2', 443]"
117,"['31.13.90.2', 443, '10.152.152.11', 59684]"
118,"['10.152.152.11', 59684, '31.13.90.2', 443]"
119,"['31.13.90.2', 443, '10.152.152.11', 59684]"
120,"['10.152.152.11', 59684, '31.13.90.2', 443]"
121,"['31.13.90.2', 443, '10.152.152.11', 59684]"
122,"['10.152.152.11', 59684, '31.13.90.2', 443]"
123,"['10.152.152.11', 34115, '216.58.208.78', 443]"
124,"['216.58.208.78', 443, '10.152.152.11', 34115]"
125,"['31.13.90.2', 443, '10.152.152.11', 59684]"
126,"['10.152.152.11', 59684, '31.13.90.2', 443]"
127,"['10.152.152.11', 59684, '31.13.90.2', 443]"
128,"['31.13.90.2', 443, '10.152.152.11', 59684]"
129,"['31.13.90.2', 443, '10.152.152.11', 59684]"
130,"['10.152.152.11', 59684, '31.13.90.2', 443]"
131,"['10.152.152.11', 59684, '31.13.90.2', 443]"
132,"['10.152.152.11', 59684, '31.13.90.2', 443]"
133,"['31.13.90.2', 443, '10.152.152.11', 59684]"
134,"['31.13.90.2', 443, '10.152.152.11', 59684]"
135,"['31.13.90.2', 443, '10.152.152.11', 59684]"
136,"['10.152.152.11', 59684, '31.13.90.2', 443]"
137,"['31.13.90.2', 443, '10.152.152.11', 59684]"
138,"['10.152.152.11', 59684, '31.13.90.2', 443]"
139,"['31.13.90.2', 443, '10.152.152.11', 59684]"
140,"['10.152.152.11', 59684, '31.13.90.2', 443]"
141,"['10.152.152.11', 56718, '2.16.162.49', 443]"
142,"['2.16.162.49', 443, '10.152.152.11', 56718]"
143,"['10.152.152.11', 34073, '216.58.208.78', 443]"
144,"['216.58.208.78', 443, '10.152.152.11', 34073]"
145,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
146,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
147,"['10.152.152.11', 34116, '216.58.208.78', 443]"
148,"['216.58.208.78', 443, '10.152.152.11', 34116]"
149,"['10.152.152.11', 34116, '216.58.208.78', 443]"
150,"['10.152.152.11', 34116, '216.58.208.78', 443]"
151,"['216.58.208.78', 443, '10.152.152.11', 34116]"
152,"['216.58.208.78', 443, '10.152.152.11', 34116]"
153,"['10.152.152.11', 34116, '216.58.208.78', 443]"
154,"['216.58.208.78', 443, '10.152.152.11', 34116]"
155,"['10.152.152.11', 34116, '216.58.208.78', 443]"
156,"['216.58.208.78', 443, '10.152.152.11', 34116]"
157,"['10.152.152.11', 34116, '216.58.208.78', 443]"
158,"['216.58.208.78', 443, '10.152.152.11', 34116]"
159,"['10.152.152.11', 34116, '216.58.208.78', 443]"
160,"['10.152.152.11', 34116, '216.58.208.78', 443]"
161,"['216.58.208.78', 443, '10.152.152.11', 34116]"
162,"['216.58.208.78', 443, '10.152.152.11', 34116]"
163,"['10.152.152.11', 34116, '216.58.208.78', 443]"
164,"['216.58.208.78', 443, '10.152.152.11', 34116]"
165,"['10.152.152.11', 34116, '216.58.208.78', 443]"
166,"['10.152.152.11', 34116, '216.58.208.78', 443]"
167,"['216.58.208.78', 443, '10.152.152.11', 34116]"
168,"['10.152.152.11', 34116, '216.58.208.78', 443]"
169,"['216.58.208.78', 443, '10.152.152.11', 34116]"
170,"['216.58.208.78', 443, '10.152.152.11', 34116]"
171,"['216.58.208.78', 443, '10.152.152.11', 34116]"
172,"['10.152.152.11', 34116, '216.58.208.78', 443]"
173,"['216.58.208.78', 443, '10.152.152.11', 34116]"
174,"['10.152.152.11', 34116, '216.58.208.78', 443]"
175,"['10.152.152.11', 34116, '216.58.208.78', 443]"
176,"['216.58.208.78', 443, '10.152.152.11', 34116]"
177,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
178,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
179,"['10.152.152.11', 60423, '216.58.208.67', 80]"
180,"['216.58.208.67', 80, '10.152.152.11', 60423]"
181,"['10.152.152.11', 60423, '216.58.208.67', 80]"
182,"['10.152.152.11', 60423, '216.58.208.67', 80]"
183,"['216.58.208.67', 80, '10.152.152.11', 60423]"
184,"['216.58.208.67', 80, '10.152.152.11', 60423]"
185,"['10.152.152.11', 60423, '216.58.208.67', 80]"
186,"['216.58.208.67', 80, '10.152.152.11', 60423]"
187,"['10.152.152.11', 60423, '216.58.208.67', 80]"
188,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
189,"['10.152.152.11', 34116, '216.58.208.78', 443]"
190,"['10.152.152.11', 34116, '216.58.208.78', 443]"
191,"['216.58.208.78', 443, '10.152.152.11', 34116]"
192,"['216.58.208.78', 443, '10.152.152.11', 34116]"
193,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
194,"['216.58.208.78', 443, '10.152.152.11', 34116]"
195,"['10.152.152.11', 34116, '216.58.208.78', 443]"
196,"['216.58.208.78', 443, '10.152.152.11', 34116]"
197,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
198,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
199,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
200,"['10.152.152.11', 'xxxx', '216.58.208.78', 'xxxx']"
201,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
202,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
203,"['10.152.152.11', 59684, '31.13.90.2', 443]"
204,"['10.152.152.11', 59684, '31.13.90.2', 443]"
205,"['10.152.152.11', 59684, '31.13.90.2', 443]"
206,"['31.13.90.2', 443, '10.152.152.11', 59684]"
207,"['31.13.90.2', 443, '10.152.152.11', 59684]"
208,"['31.13.90.2', 443, '10.152.152.11', 59684]"
209,"['31.13.90.2', 443, '10.152.152.11', 59684]"
210,"['10.152.152.11', 59684, '31.13.90.2', 443]"
211,"['31.13.90.2', 443, '10.152.152.11', 59684]"
212,"['10.152.152.11', 59684, '31.13.90.2', 443]"
213,"['31.13.90.2', 443, '10.152.152.11', 59684]"
214,"['10.152.152.11', 59684, '31.13.90.2', 443]"
215,"['31.13.90.2', 443, '10.152.152.11', 59684]"
216,"['10.152.152.11', 59684, '31.13.90.2', 443]"
217,"['10.152.152.11', 34115, '216.58.208.78', 443]"
218,"['216.58.208.78', 443, '10.152.152.11', 34115]"
219,"['10.152.152.11', 56718, '2.16.162.49', 443]"
220,"['2.16.162.49', 443, '10.152.152.11', 56718]"
221,"['10.152.152.11', 56718, '2.16.162.49', 443]"
222,"['31.13.90.2', 443, '10.152.152.11', 59684]"
223,"['10.152.152.11', 59684, '31.13.90.2', 443]"
224,"['10.152.152.11', 59684, '31.13.90.2', 443]"
225,"['31.13.90.2', 443, '10.152.152.11', 59684]"
226,"['31.13.90.2', 443, '10.152.152.11', 59684]"
227,"['10.152.152.11', 59684, '31.13.90.2', 443]"
228,"['10.152.152.11', 34073, '216.58.208.78', 443]"
229,"['216.58.208.78', 443, '10.152.152.11', 34073]"
230,"['10.152.152.11', 60423, '216.58.208.67', 80]"
231,"['216.58.208.67', 80, '10.152.152.11', 60423]"
232,"['10.152.152.11', 34116, '216.58.208.78', 443]"
233,"['216.58.208.78', 443, '10.152.152.11', 34116]"
234,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
235,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
236,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
237,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
238,"['10.152.152.11', 34115, '216.58.208.78', 443]"
239,"['216.58.208.78', 443, '10.152.152.11', 34115]"
240,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
241,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
242,"['10.152.152.11', 59684, '31.13.90.2', 443]"
243,"['31.13.90.2', 443, '10.152.152.11', 59684]"
244,"['31.13.90.2', 443, '10.152.152.11', 59684]"
245,"['10.152.152.11', 59684, '31.13.90.2', 443]"
246,"['10.152.152.11', 59684, '31.13.90.2', 443]"
247,"['31.13.90.2', 443, '10.152.152.11', 59684]"
248,"['31.13.90.2', 443, '10.152.152.11', 59684]"
249,"['10.152.152.11', 59684, '31.13.90.2', 443]"
250,"['216.58.208.78', 443, '10.152.152.11', 34115]"
251,"['216.58.208.78', 443, '10.152.152.11', 34115]"
252,"['10.152.152.11', 34115, '216.58.208.78', 443]"
253,"['216.58.208.78', 443, '10.152.152.11', 34115]"
254,"['10.152.152.11', 34073, '216.58.208.78', 443]"
255,"['216.58.208.78', 443, '10.152.152.11', 34073]"
256,"['10.152.152.11', 60423, '216.58.208.67', 80]"
257,"['216.58.208.67', 80, '10.152.152.11', 60423]"
258,"['10.152.152.11', 34116, '216.58.208.78', 443]"
259,"['216.58.208.78', 443, '10.152.152.11', 34116]"
260,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
261,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
262,"['10.152.152.11', 59684, '31.13.90.2', 443]"
263,"['31.13.90.2', 443, '10.152.152.11', 59684]"
264,"['10.152.152.11', 59684, '31.13.90.2', 443]"
265,"['31.13.90.2', 443, '10.152.152.11', 59684]"
266,"['10.152.152.11', 59684, '31.13.90.2', 443]"
267,"['31.13.90.2', 443, '10.152.152.11', 59684]"
268,"['31.13.90.2', 443, '10.152.152.11', 59684]"
269,"['10.152.152.11', 59684, '31.13.90.2', 443]"
270,"['31.13.90.2', 443, '10.152.152.11', 59684]"
271,"['10.152.152.11', 59684, '31.13.90.2', 443]"
272,"['31.13.90.2', 443, '10.152.152.11', 59684]"
273,"['10.152.152.11', 59684, '31.13.90.2', 443]"
274,"['31.13.90.2', 443, '10.152.152.11', 59684]"
275,"['10.152.152.11', 59684, '31.13.90.2', 443]"
276,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
277,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
278,"['31.13.90.2', 443, '10.152.152.11', 59684]"
279,"['10.152.152.11', 59684, '31.13.90.2', 443]"
280,"['10.152.152.11', 59684, '31.13.90.2', 443]"
281,"['31.13.90.2', 443, '10.152.152.11', 59684]"
282,"['31.13.90.2', 443, '10.152.152.11', 59684]"
283,"['10.152.152.11', 59684, '31.13.90.2', 443]"
284,"['10.152.152.11', 34073, '216.58.208.78', 443]"
285,"['216.58.208.78', 443, '10.152.152.11', 34073]"
286,"['10.152.152.11', 60423, '216.58.208.67', 80]"
287,"['216.58.208.67', 80, '10.152.152.11', 60423]"
288,"['10.152.152.11', 34116, '216.58.208.78', 443]"
289,"['216.58.208.78', 443, '10.152.152.11', 34116]"
290,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
291,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
292,"['31.13.90.2', 443, '10.152.152.11', 59684]"
293,"['10.152.152.11', 59684, '31.13.90.2', 443]"
294,"['10.152.152.11', 59684, '31.13.90.2', 443]"
295,"['31.13.90.2', 443, '10.152.152.11', 59684]"
296,"['31.13.90.2', 443, '10.152.152.11', 59684]"
297,"['10.152.152.11', 59684, '31.13.90.2', 443]"
298,"['10.152.152.11', 34073, '216.58.208.78', 443]"
299,"['216.58.208.78', 443, '10.152.152.11', 34073]"
300,"['10.152.152.11', 60423, '216.58.208.67', 80]"
301,"['216.58.208.67', 80, '10.152.152.11', 60423]"
302,"['10.152.152.11', 34116, '216.58.208.78', 443]"
303,"['216.58.208.78', 443, '10.152.152.11', 34116]"
304,"['216.58.208.78', 443, '10.152.152.11', 34073]"
305,"['216.58.208.78', 443, '10.152.152.11', 34073]"
306,"['10.152.152.11', 34073, '216.58.208.78', 443]"
307,"['216.58.208.78', 443, '10.152.152.11', 34073]"
308,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
309,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
310,"['10.152.152.11', 59684, '31.13.90.2', 443]"
311,"['31.13.90.2', 443, '10.152.152.11', 59684]"
312,"['31.13.90.2', 443, '10.152.152.11', 59684]"
313,"['10.152.152.11', 59684, '31.13.90.2', 443]"
314,"['10.152.152.11', 59684, '31.13.90.2', 443]"
315,"['31.13.90.2', 443, '10.152.152.11', 59684]"
316,"['10.152.152.11', 59684, '31.13.90.2', 443]"
317,"['10.152.152.11', 59684, '31.13.90.2', 443]"
318,"['31.13.90.2', 443, '10.152.152.11', 59684]"
319,"['31.13.90.2', 443, '10.152.152.11', 59684]"
320,"['31.13.90.2', 443, '10.152.152.11', 59684]"
321,"['10.152.152.11', 59684, '31.13.90.2', 443]"
322,"['31.13.90.2', 443, '10.152.152.11', 59684]"
323,"['10.152.152.11', 59684, '31.13.90.2', 443]"
324,"['31.13.90.2', 443, '10.152.152.11', 59684]"
325,"['10.152.152.11', 59684, '31.13.90.2', 443]"
326,"['31.13.90.2', 443, '10.152.152.11', 59684]"
327,"['10.152.152.11', 59684, '31.13.90.2', 443]"
328,"['31.13.90.2', 443, '10.152.152.11', 59684]"
329,"['10.152.152.11', 59684, '31.13.90.2', 443]"
330,"['10.152.152.11', 60423, '216.58.208.67', 80]"
331,"['216.58.208.67', 80, '10.152.152.11', 60423]"
332,"['10.152.152.11', 34116, '216.58.208.78', 443]"
333,"['216.58.208.78', 443, '10.152.152.11', 34116]"
334,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
335,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
336,"['216.58.208.67', 80, '10.152.152.11', 60423]"
337,"['10.152.152.11', 60423, '216.58.208.67', 80]"
338,"['10.152.152.11', 60423, '216.58.208.67', 80]"
339,"['216.58.208.67', 80, '10.152.152.11', 60423]"
340,"['216.58.208.78', 443, '10.152.152.11', 34116]"
341,"['10.152.152.11', 34116, '216.58.208.78', 443]"
342,"['216.58.208.78', 443, '10.152.152.11', 34116]"
343,"['10.152.152.11', 34116, '216.58.208.78', 443]"
344,"['216.58.208.78', 443, '10.152.152.11', 34116]"
345,"['10.152.152.11', 34116, '216.58.208.78', 443]"
346,"['216.58.208.78', 443, '10.152.152.11', 34116]"
347,"['10.152.152.11', 59684, '31.13.90.2', 443]"
348,"['31.13.90.2', 443, '10.152.152.11', 59684]"
349,"['31.13.90.2', 443, '10.152.152.11', 59684]"
350,"['10.152.152.11', 59684, '31.13.90.2', 443]"
351,"['10.152.152.11', 59684, '31.13.90.2', 443]"
352,"['31.13.90.2', 443, '10.152.152.11', 59684]"
353,"['31.13.90.2', 443, '10.152.152.11', 59684]"
354,"['10.152.152.11', 59684, '31.13.90.2', 443]"
355,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
356,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
357,"['10.152.152.11', 59684, '31.13.90.2', 443]"
358,"['10.152.152.11', 59684, '31.13.90.2', 443]"
359,"['10.152.152.11', 59684, '31.13.90.2', 443]"
360,"['31.13.90.2', 443, '10.152.152.11', 59684]"
361,"['31.13.90.2', 443, '10.152.152.11', 59684]"
362,"['31.13.90.2', 443, '10.152.152.11', 59684]"
363,"['31.13.90.2', 443, '10.152.152.11', 59684]"
364,"['10.152.152.11', 59684, '31.13.90.2', 443]"
365,"['31.13.90.2', 443, '10.152.152.11', 59684]"
366,"['10.152.152.11', 59684, '31.13.90.2', 443]"
367,"['31.13.90.2', 443, '10.152.152.11', 59684]"
368,"['10.152.152.11', 59684, '31.13.90.2', 443]"
369,"['31.13.90.2', 443, '10.152.152.11', 59684]"
370,"['10.152.152.11', 59684, '31.13.90.2', 443]"
371,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
372,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
373,"['10.152.152.11', 59684, '31.13.90.2', 443]"
374,"['31.13.90.2', 443, '10.152.152.11', 59684]"
375,"['10.152.152.11', 59684, '31.13.90.2', 443]"
376,"['31.13.90.2', 443, '10.152.152.11', 59684]"
377,"['31.13.90.2', 443, '10.152.152.11', 59684]"
378,"['10.152.152.11', 59684, '31.13.90.2', 443]"
379,"['31.13.90.2', 443, '10.152.152.11', 59684]"
380,"['10.152.152.11', 59684, '31.13.90.2', 443]"
381,"['10.152.152.11', 59684, '31.13.90.2', 443]"
382,"['31.13.90.2', 443, '10.152.152.11', 59684]"
383,"['31.13.90.2', 443, '10.152.152.11', 59684]"
384,"['31.13.90.2', 443, '10.152.152.11', 59684]"
385,"['10.152.152.11', 59684, '31.13.90.2', 443]"
386,"['31.13.90.2', 443, '10.152.152.11', 59684]"
387,"['10.152.152.11', 59684, '31.13.90.2', 443]"
388,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
389,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
390,"['10.152.152.11', 59684, '31.13.90.2', 443]"
391,"['31.13.90.2', 443, '10.152.152.11', 59684]"
392,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
393,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
394,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
395,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
396,"['31.13.90.2', 443, '10.152.152.11', 59684]"
397,"['10.152.152.11', 59684, '31.13.90.2', 443]"
398,"['10.152.152.11', 59684, '31.13.90.2', 443]"
399,"['31.13.90.2', 443, '10.152.152.11', 59684]"
400,"['31.13.90.2', 443, '10.152.152.11', 59684]"
401,"['10.152.152.11', 59684, '31.13.90.2', 443]"
402,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
403,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
404,"['10.152.152.11', 59684, '31.13.90.2', 443]"
405,"['31.13.90.2', 443, '10.152.152.11', 59684]"
406,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
407,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
408,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
409,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
410,"['31.13.90.2', 443, '10.152.152.11', 59684]"
411,"['10.152.152.11', 59684, '31.13.90.2', 443]"
412,"['10.152.152.11', 59684, '31.13.90.2', 443]"
413,"['31.13.90.2', 443, '10.152.152.11', 59684]"
414,"['31.13.90.2', 443, '10.152.152.11', 59684]"
415,"['10.152.152.11', 59684, '31.13.90.2', 443]"
416,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
417,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
418,"['10.152.152.11', 59684, '31.13.90.2', 443]"
419,"['31.13.90.2', 443, '10.152.152.11', 59684]"
420,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
421,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
422,"['31.13.90.2', 443, '10.152.152.11', 59684]"
423,"['10.152.152.11', 59684, '31.13.90.2', 443]"
424,"['10.152.152.11', 59684, '31.13.90.2', 443]"
425,"['31.13.90.2', 443, '10.152.152.11', 59684]"
426,"['31.13.90.2', 443, '10.152.152.11', 59684]"
427,"['10.152.152.11', 59684, '31.13.90.2', 443]"
428,"['31.13.90.2', 443, '10.152.152.11', 59684]"
429,"['10.152.152.11', 59684, '31.13.90.2', 443]"
430,"['10.152.152.11', 59684, '31.13.90.2', 443]"
431,"['31.13.90.2', 443, '10.152.152.11', 59684]"
432,"['31.13.90.2', 443, '10.152.152.11', 59684]"
433,"['10.152.152.11', 59684, '31.13.90.2', 443]"
434,"['31.13.90.2', 443, '10.152.152.11', 59684]"
435,"['10.152.152.11', 59684, '31.13.90.2', 443]"
436,"['10.152.152.11', 59684, '31.13.90.2', 443]"
437,"['31.13.90.2', 443, '10.152.152.11', 59684]"
438,"['31.13.90.2', 443, '10.152.152.11', 59684]"
439,"['10.152.152.11', 59684, '31.13.90.2', 443]"
440,"['10.152.152.11', 59684, '31.13.90.2', 443]"
441,"['10.152.152.11', 59684, '31.13.90.2', 443]"
442,"['31.13.90.2', 443, '10.152.152.11', 59684]"
443,"['31.13.90.2', 443, '10.152.152.11', 59684]"
444,"['10.152.152.11', 59684, '31.13.90.2', 443]"
445,"['31.13.90.2', 443, '10.152.152.11', 59684]"
446,"['31.13.90.2', 443, '10.152.152.11', 59684]"
447,"['10.152.152.11', 59684, '31.13.90.2', 443]"
448,"['10.152.152.11', 59684, '31.13.90.2', 443]"
449,"['10.152.152.11', 59684, '31.13.90.2', 443]"
450,"['31.13.90.2', 443, '10.152.152.11', 59684]"
451,"['31.13.90.2', 443, '10.152.152.11', 59684]"
452,"['31.13.90.2', 443, '10.152.152.11', 59684]"
453,"['10.152.152.11', 59684, '31.13.90.2', 443]"
