,Email_IMAP_filetransfer.pcap
32,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
33,"['10.152.152.11', 47759, '216.58.211.10', 443]"
34,"['216.58.211.10', 443, '10.152.152.11', 47759]"
35,"['10.152.152.11', 47759, '216.58.211.10', 443]"
36,"['10.152.152.11', 47759, '216.58.211.10', 443]"
37,"['216.58.211.10', 443, '10.152.152.11', 47759]"
38,"['216.58.211.10', 443, '10.152.152.11', 47759]"
39,"['10.152.152.11', 47759, '216.58.211.10', 443]"
40,"['216.58.211.10', 443, '10.152.152.11', 47759]"
41,"['10.152.152.11', 47759, '216.58.211.10', 443]"
42,"['216.58.211.10', 443, '10.152.152.11', 47759]"
43,"['10.152.152.11', 47759, '216.58.211.10', 443]"
44,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
45,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
46,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
47,"['216.58.211.10', 443, '10.152.152.11', 47759]"
48,"['10.152.152.11', 47759, '216.58.211.10', 443]"
49,"['10.152.152.11', 47759, '216.58.211.10', 443]"
50,"['216.58.211.10', 443, '10.152.152.11', 47759]"
51,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
52,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
53,"['64.233.164.16', 993, '10.152.152.11', 49496]"
54,"['10.152.152.11', 49496, '64.233.164.16', 993]"
55,"['10.152.152.11', 49496, '64.233.164.16', 993]"
56,"['64.233.164.16', 993, '10.152.152.11', 49496]"
57,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
58,"['10.152.152.11', 50670, '31.172.32.106', 80]"
59,"['31.172.32.106', 80, '10.152.152.11', 50670]"
60,"['10.152.152.11', 50670, '31.172.32.106', 80]"
61,"['10.152.152.11', 50670, '31.172.32.106', 80]"
62,"['31.172.32.106', 80, '10.152.152.11', 50670]"
63,"['216.58.211.10', 443, '10.152.152.11', 47759]"
64,"['10.152.152.11', 47759, '216.58.211.10', 443]"
65,"['64.233.164.16', 993, '10.152.152.11', 49496]"
66,"['10.152.152.11', 49496, '64.233.164.16', 993]"
67,"['64.233.164.16', 993, '10.152.152.11', 49496]"
68,"['31.172.32.106', 80, '10.152.152.11', 50670]"
69,"['10.152.152.11', 50670, '31.172.32.106', 80]"
70,"['10.152.152.11', 47759, '216.58.211.10', 443]"
71,"['10.152.152.11', 47759, '216.58.211.10', 443]"
72,"['10.152.152.11', 47759, '216.58.211.10', 443]"
73,"['216.58.211.10', 443, '10.152.152.11', 47759]"
74,"['216.58.211.10', 443, '10.152.152.11', 47759]"
75,"['10.152.152.11', 47759, '216.58.211.10', 443]"
76,"['216.58.211.10', 443, '10.152.152.11', 47759]"
77,"['216.58.211.10', 443, '10.152.152.11', 47759]"
78,"['64.233.164.16', 993, '10.152.152.11', 49496]"
79,"['10.152.152.11', 49496, '64.233.164.16', 993]"
80,"['64.233.164.16', 993, '10.152.152.11', 49496]"
81,"['216.58.211.10', 443, '10.152.152.11', 47759]"
82,"['10.152.152.11', 47759, '216.58.211.10', 443]"
83,"['64.233.164.16', 993, '10.152.152.11', 49496]"
84,"['216.58.211.10', 443, '10.152.152.11', 47759]"
85,"['10.152.152.11', 47759, '216.58.211.10', 443]"
86,"['10.152.152.11', 47759, '216.58.211.10', 443]"
87,"['216.58.211.10', 443, '10.152.152.11', 47759]"
88,"['10.152.152.11', 39222, '64.233.167.16', 465]"
89,"['10.152.152.11', 49496, '64.233.164.16', 993]"
90,"['64.233.167.16', 465, '10.152.152.11', 39222]"
91,"['64.233.164.16', 993, '10.152.152.11', 49496]"
92,"['64.233.164.16', 993, '10.152.152.11', 49496]"
93,"['10.152.152.11', 49496, '64.233.164.16', 993]"
94,"['64.233.167.16', 465, '10.152.152.11', 39222]"
95,"['10.152.152.11', 39222, '64.233.167.16', 465]"
96,"['10.152.152.11', 39222, '64.233.167.16', 465]"
97,"['64.233.167.16', 465, '10.152.152.11', 39222]"
98,"['64.233.167.16', 465, '10.152.152.11', 39222]"
99,"['10.152.152.11', 39222, '64.233.167.16', 465]"
100,"['64.233.167.16', 465, '10.152.152.11', 39222]"
101,"['64.233.164.16', 993, '10.152.152.11', 49496]"
102,"['10.152.152.11', 49496, '64.233.164.16', 993]"
103,"['10.152.152.11', 49496, '64.233.164.16', 993]"
104,"['64.233.164.16', 993, '10.152.152.11', 49496]"
105,"['64.233.167.16', 465, '10.152.152.11', 39222]"
106,"['10.152.152.11', 39222, '64.233.167.16', 465]"
107,"['64.233.167.16', 465, '10.152.152.11', 39222]"
108,"['64.233.164.16', 993, '10.152.152.11', 49496]"
109,"['10.152.152.11', 49496, '64.233.164.16', 993]"
110,"['10.152.152.11', 49496, '64.233.164.16', 993]"
111,"['64.233.164.16', 993, '10.152.152.11', 49496]"
112,"['64.233.167.16', 465, '10.152.152.11', 39222]"
113,"['10.152.152.11', 39222, '64.233.167.16', 465]"
114,"['10.152.152.11', 39222, '64.233.167.16', 465]"
115,"['64.233.167.16', 465, '10.152.152.11', 39222]"
116,"['64.233.167.16', 465, '10.152.152.11', 39222]"
117,"['64.233.164.16', 993, '10.152.152.11', 49496]"
118,"['10.152.152.11', 49496, '64.233.164.16', 993]"
119,"['64.233.164.16', 993, '10.152.152.11', 49496]"
120,"['10.152.152.11', 49496, '64.233.164.16', 993]"
121,"['64.233.164.16', 993, '10.152.152.11', 49496]"
122,"['10.152.152.11', 49496, '64.233.164.16', 993]"
123,"['64.233.164.16', 993, '10.152.152.11', 49496]"
124,"['10.152.152.11', 49496, '64.233.164.16', 993]"
125,"['64.233.164.16', 993, '10.152.152.11', 49496]"
126,"['10.152.152.11', 49496, '64.233.164.16', 993]"
127,"['64.233.164.16', 993, '10.152.152.11', 49496]"
128,"['10.152.152.11', 49496, '64.233.164.16', 993]"
129,"['64.233.164.16', 993, '10.152.152.11', 49496]"
130,"['10.152.152.11', 49496, '64.233.164.16', 993]"
131,"['64.233.164.16', 993, '10.152.152.11', 49496]"
132,"['10.152.152.11', 49496, '64.233.164.16', 993]"
133,"['64.233.164.16', 993, '10.152.152.11', 49496]"
134,"['10.152.152.11', 49496, '64.233.164.16', 993]"
135,"['64.233.164.16', 993, '10.152.152.11', 49496]"
136,"['10.152.152.11', 49496, '64.233.164.16', 993]"
137,"['64.233.164.16', 993, '10.152.152.11', 49496]"
138,"['10.152.152.11', 49496, '64.233.164.16', 993]"
139,"['64.233.164.16', 993, '10.152.152.11', 49496]"
140,"['10.152.152.11', 49496, '64.233.164.16', 993]"
141,"['64.233.164.16', 993, '10.152.152.11', 49496]"
142,"['10.152.152.11', 49496, '64.233.164.16', 993]"
143,"['64.233.164.16', 993, '10.152.152.11', 49496]"
144,"['10.152.152.11', 49496, '64.233.164.16', 993]"
145,"['64.233.164.16', 993, '10.152.152.11', 49496]"
146,"['10.152.152.11', 49496, '64.233.164.16', 993]"
147,"['64.233.164.16', 993, '10.152.152.11', 49496]"
148,"['10.152.152.11', 49496, '64.233.164.16', 993]"
149,"['64.233.164.16', 993, '10.152.152.11', 49496]"
150,"['64.233.164.16', 993, '10.152.152.11', 49496]"
151,"['10.152.152.11', 49496, '64.233.164.16', 993]"
152,"['64.233.164.16', 993, '10.152.152.11', 49496]"
153,"['10.152.152.11', 49496, '64.233.164.16', 993]"
154,"['64.233.164.16', 993, '10.152.152.11', 49496]"
155,"['64.233.164.16', 993, '10.152.152.11', 49496]"
156,"['64.233.164.16', 993, '10.152.152.11', 49496]"
157,"['10.152.152.11', 49496, '64.233.164.16', 993]"
158,"['64.233.164.16', 993, '10.152.152.11', 49496]"
159,"['64.233.164.16', 993, '10.152.152.11', 49496]"
160,"['10.152.152.11', 49496, '64.233.164.16', 993]"
161,"['64.233.164.16', 993, '10.152.152.11', 49496]"
162,"['10.152.152.11', 49496, '64.233.164.16', 993]"
163,"['64.233.164.16', 993, '10.152.152.11', 49496]"
164,"['64.233.164.16', 993, '10.152.152.11', 49496]"
165,"['64.233.164.16', 993, '10.152.152.11', 49496]"
166,"['10.152.152.11', 49496, '64.233.164.16', 993]"
167,"['64.233.164.16', 993, '10.152.152.11', 49496]"
168,"['10.152.152.11', 49496, '64.233.164.16', 993]"
169,"['64.233.164.16', 993, '10.152.152.11', 49496]"
170,"['10.152.152.11', 49496, '64.233.164.16', 993]"
171,"['64.233.164.16', 993, '10.152.152.11', 49496]"
172,"['64.233.164.16', 993, '10.152.152.11', 49496]"
173,"['64.233.164.16', 993, '10.152.152.11', 49496]"
174,"['10.152.152.11', 49496, '64.233.164.16', 993]"
175,"['64.233.164.16', 993, '10.152.152.11', 49496]"
176,"['64.233.164.16', 993, '10.152.152.11', 49496]"
177,"['10.152.152.11', 49496, '64.233.164.16', 993]"
178,"['64.233.164.16', 993, '10.152.152.11', 49496]"
179,"['10.152.152.11', 49496, '64.233.164.16', 993]"
180,"['64.233.164.16', 993, '10.152.152.11', 49496]"
181,"['64.233.164.16', 993, '10.152.152.11', 49496]"
182,"['64.233.164.16', 993, '10.152.152.11', 49496]"
183,"['10.152.152.11', 49496, '64.233.164.16', 993]"
184,"['64.233.164.16', 993, '10.152.152.11', 49496]"
185,"['64.233.164.16', 993, '10.152.152.11', 49496]"
186,"['10.152.152.11', 49496, '64.233.164.16', 993]"
187,"['64.233.164.16', 993, '10.152.152.11', 49496]"
188,"['10.152.152.11', 49496, '64.233.164.16', 993]"
189,"['64.233.164.16', 993, '10.152.152.11', 49496]"
190,"['10.152.152.11', 49496, '64.233.164.16', 993]"
191,"['64.233.164.16', 993, '10.152.152.11', 49496]"
192,"['64.233.164.16', 993, '10.152.152.11', 49496]"
193,"['64.233.164.16', 993, '10.152.152.11', 49496]"
194,"['10.152.152.11', 49496, '64.233.164.16', 993]"
195,"['64.233.164.16', 993, '10.152.152.11', 49496]"
196,"['10.152.152.11', 49496, '64.233.164.16', 993]"
197,"['64.233.164.16', 993, '10.152.152.11', 49496]"
198,"['64.233.164.16', 993, '10.152.152.11', 49496]"
199,"['64.233.164.16', 993, '10.152.152.11', 49496]"
200,"['10.152.152.11', 49496, '64.233.164.16', 993]"
201,"['64.233.167.16', 465, '10.152.152.11', 39222]"
202,"['64.233.164.16', 993, '10.152.152.11', 49496]"
203,"['64.233.164.16', 993, '10.152.152.11', 49496]"
204,"['10.152.152.11', 49496, '64.233.164.16', 993]"
205,"['64.233.164.16', 993, '10.152.152.11', 49496]"
206,"['10.152.152.11', 49496, '64.233.164.16', 993]"
207,"['64.233.164.16', 993, '10.152.152.11', 49496]"
208,"['64.233.164.16', 993, '10.152.152.11', 49496]"
209,"['10.152.152.11', 49496, '64.233.164.16', 993]"
210,"['64.233.164.16', 993, '10.152.152.11', 49496]"
211,"['10.152.152.11', 49496, '64.233.164.16', 993]"
212,"['10.152.152.11', 39222, '64.233.167.16', 465]"
213,"['64.233.164.16', 993, '10.152.152.11', 49496]"
214,"['64.233.167.16', 465, '10.152.152.11', 39222]"
215,"['10.152.152.11', 49496, '64.233.164.16', 993]"
216,"['64.233.164.16', 993, '10.152.152.11', 49496]"
217,"['64.233.164.16', 993, '10.152.152.11', 49496]"
218,"['10.152.152.11', 49496, '64.233.164.16', 993]"
219,"['64.233.164.16', 993, '10.152.152.11', 49496]"
220,"['64.233.164.16', 993, '10.152.152.11', 49496]"
221,"['10.152.152.11', 49496, '64.233.164.16', 993]"
222,"['64.233.164.16', 993, '10.152.152.11', 49496]"
223,"['10.152.152.11', 49496, '64.233.164.16', 993]"
224,"['64.233.164.16', 993, '10.152.152.11', 49496]"
225,"['64.233.164.16', 993, '10.152.152.11', 49496]"
226,"['64.233.164.16', 993, '10.152.152.11', 49496]"
227,"['10.152.152.11', 49496, '64.233.164.16', 993]"
228,"['64.233.164.16', 993, '10.152.152.11', 49496]"
229,"['64.233.164.16', 993, '10.152.152.11', 49496]"
230,"['10.152.152.11', 49496, '64.233.164.16', 993]"
231,"['64.233.164.16', 993, '10.152.152.11', 49496]"
232,"['10.152.152.11', 49496, '64.233.164.16', 993]"
233,"['64.233.164.16', 993, '10.152.152.11', 49496]"
234,"['64.233.164.16', 993, '10.152.152.11', 49496]"
235,"['64.233.164.16', 993, '10.152.152.11', 49496]"
236,"['10.152.152.11', 49496, '64.233.164.16', 993]"
237,"['64.233.164.16', 993, '10.152.152.11', 49496]"
238,"['10.152.152.11', 49496, '64.233.164.16', 993]"
239,"['64.233.164.16', 993, '10.152.152.11', 49496]"
240,"['64.233.164.16', 993, '10.152.152.11', 49496]"
241,"['64.233.164.16', 993, '10.152.152.11', 49496]"
242,"['10.152.152.11', 49496, '64.233.164.16', 993]"
243,"['64.233.164.16', 993, '10.152.152.11', 49496]"
244,"['64.233.164.16', 993, '10.152.152.11', 49496]"
245,"['10.152.152.11', 49496, '64.233.164.16', 993]"
246,"['64.233.164.16', 993, '10.152.152.11', 49496]"
247,"['10.152.152.11', 49496, '64.233.164.16', 993]"
248,"['64.233.164.16', 993, '10.152.152.11', 49496]"
249,"['64.233.164.16', 993, '10.152.152.11', 49496]"
250,"['64.233.164.16', 993, '10.152.152.11', 49496]"
251,"['10.152.152.11', 49496, '64.233.164.16', 993]"
252,"['10.152.152.11', 49496, '64.233.164.16', 993]"
253,"['64.233.164.16', 993, '10.152.152.11', 49496]"
254,"['64.233.164.16', 993, '10.152.152.11', 49496]"
255,"['64.233.164.16', 993, '10.152.152.11', 49496]"
256,"['10.152.152.11', 49496, '64.233.164.16', 993]"
257,"['64.233.164.16', 993, '10.152.152.11', 49496]"
258,"['64.233.164.16', 993, '10.152.152.11', 49496]"
259,"['10.152.152.11', 49496, '64.233.164.16', 993]"
260,"['64.233.164.16', 993, '10.152.152.11', 49496]"
261,"['10.152.152.11', 49496, '64.233.164.16', 993]"
262,"['64.233.164.16', 993, '10.152.152.11', 49496]"
263,"['64.233.164.16', 993, '10.152.152.11', 49496]"
264,"['64.233.164.16', 993, '10.152.152.11', 49496]"
265,"['64.233.164.16', 993, '10.152.152.11', 49496]"
266,"['10.152.152.11', 49496, '64.233.164.16', 993]"
267,"['64.233.164.16', 993, '10.152.152.11', 49496]"
268,"['64.233.164.16', 993, '10.152.152.11', 49496]"
269,"['10.152.152.11', 49496, '64.233.164.16', 993]"
270,"['64.233.164.16', 993, '10.152.152.11', 49496]"
271,"['10.152.152.11', 49496, '64.233.164.16', 993]"
272,"['64.233.164.16', 993, '10.152.152.11', 49496]"
273,"['64.233.164.16', 993, '10.152.152.11', 49496]"
274,"['10.152.152.11', 49496, '64.233.164.16', 993]"
275,"['64.233.164.16', 993, '10.152.152.11', 49496]"
276,"['10.152.152.11', 49496, '64.233.164.16', 993]"
277,"['64.233.164.16', 993, '10.152.152.11', 49496]"
278,"['64.233.164.16', 993, '10.152.152.11', 49496]"
279,"['64.233.164.16', 993, '10.152.152.11', 49496]"
280,"['64.233.164.16', 993, '10.152.152.11', 49496]"
281,"['10.152.152.11', 49496, '64.233.164.16', 993]"
282,"['64.233.164.16', 993, '10.152.152.11', 49496]"
283,"['64.233.164.16', 993, '10.152.152.11', 49496]"
284,"['10.152.152.11', 49496, '64.233.164.16', 993]"
285,"['64.233.164.16', 993, '10.152.152.11', 49496]"
286,"['64.233.164.16', 993, '10.152.152.11', 49496]"
287,"['10.152.152.11', 49496, '64.233.164.16', 993]"
288,"['64.233.164.16', 993, '10.152.152.11', 49496]"
289,"['64.233.164.16', 993, '10.152.152.11', 49496]"
290,"['10.152.152.11', 49496, '64.233.164.16', 993]"
291,"['64.233.164.16', 993, '10.152.152.11', 49496]"
292,"['10.152.152.11', 49496, '64.233.164.16', 993]"
293,"['64.233.164.16', 993, '10.152.152.11', 49496]"
294,"['10.152.152.11', 49496, '64.233.164.16', 993]"
295,"['64.233.164.16', 993, '10.152.152.11', 49496]"
296,"['64.233.164.16', 993, '10.152.152.11', 49496]"
297,"['64.233.164.16', 993, '10.152.152.11', 49496]"
298,"['10.152.152.11', 49496, '64.233.164.16', 993]"
299,"['64.233.164.16', 993, '10.152.152.11', 49496]"
300,"['10.152.152.11', 49496, '64.233.164.16', 993]"
301,"['64.233.164.16', 993, '10.152.152.11', 49496]"
302,"['10.152.152.11', 49496, '64.233.164.16', 993]"
303,"['64.233.164.16', 993, '10.152.152.11', 49496]"
304,"['64.233.164.16', 993, '10.152.152.11', 49496]"
305,"['64.233.164.16', 993, '10.152.152.11', 49496]"
306,"['10.152.152.11', 49496, '64.233.164.16', 993]"
307,"['64.233.164.16', 993, '10.152.152.11', 49496]"
308,"['10.152.152.11', 49496, '64.233.164.16', 993]"
309,"['64.233.164.16', 993, '10.152.152.11', 49496]"
310,"['64.233.164.16', 993, '10.152.152.11', 49496]"
311,"['64.233.164.16', 993, '10.152.152.11', 49496]"
312,"['10.152.152.11', 49496, '64.233.164.16', 993]"
313,"['64.233.164.16', 993, '10.152.152.11', 49496]"
314,"['10.152.152.11', 49496, '64.233.164.16', 993]"
315,"['64.233.164.16', 993, '10.152.152.11', 49496]"
316,"['64.233.164.16', 993, '10.152.152.11', 49496]"
317,"['10.152.152.11', 49496, '64.233.164.16', 993]"
318,"['64.233.164.16', 993, '10.152.152.11', 49496]"
319,"['64.233.164.16', 993, '10.152.152.11', 49496]"
320,"['10.152.152.11', 49496, '64.233.164.16', 993]"
321,"['64.233.164.16', 993, '10.152.152.11', 49496]"
322,"['10.152.152.11', 49496, '64.233.164.16', 993]"
323,"['64.233.164.16', 993, '10.152.152.11', 49496]"
324,"['10.152.152.11', 49496, '64.233.164.16', 993]"
325,"['64.233.164.16', 993, '10.152.152.11', 49496]"
326,"['64.233.164.16', 993, '10.152.152.11', 49496]"
327,"['64.233.164.16', 993, '10.152.152.11', 49496]"
328,"['64.233.167.16', 465, '10.152.152.11', 39222]"
329,"['10.152.152.11', 49496, '64.233.164.16', 993]"
330,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
331,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
332,"['10.152.152.11', 39222, '64.233.167.16', 465]"
333,"['10.152.152.11', 39222, '64.233.167.16', 465]"
334,"['64.233.167.16', 465, '10.152.152.11', 39222]"
335,"['10.152.152.11', 58788, '74.125.21.16', 993]"
336,"['10.152.152.11', 58788, '74.125.21.16', 993]"
337,"['64.233.167.16', 465, '10.152.152.11', 39222]"
338,"['10.152.152.11', 39222, '64.233.167.16', 465]"
339,"['64.233.164.16', 993, '10.152.152.11', 49496]"
340,"['64.233.164.16', 993, '10.152.152.11', 49496]"
341,"['10.152.152.11', 49496, '64.233.164.16', 993]"
342,"['64.233.164.16', 993, '10.152.152.11', 49496]"
343,"['10.152.152.11', 49496, '64.233.164.16', 993]"
344,"['64.233.164.16', 993, '10.152.152.11', 49496]"
345,"['64.233.164.16', 993, '10.152.152.11', 49496]"
346,"['64.233.164.16', 993, '10.152.152.11', 49496]"
347,"['10.152.152.11', 49496, '64.233.164.16', 993]"
348,"['10.152.152.11', 49496, '64.233.164.16', 993]"
349,"['64.233.164.16', 993, '10.152.152.11', 49496]"
350,"['64.233.164.16', 993, '10.152.152.11', 49496]"
351,"['10.152.152.11', 49496, '64.233.164.16', 993]"
352,"['64.233.164.16', 993, '10.152.152.11', 49496]"
353,"['64.233.164.16', 993, '10.152.152.11', 49496]"
354,"['10.152.152.11', 49496, '64.233.164.16', 993]"
355,"['64.233.164.16', 993, '10.152.152.11', 49496]"
356,"['10.152.152.11', 49496, '64.233.164.16', 993]"
357,"['64.233.164.16', 993, '10.152.152.11', 49496]"
358,"['64.233.164.16', 993, '10.152.152.11', 49496]"
359,"['64.233.164.16', 993, '10.152.152.11', 49496]"
360,"['10.152.152.11', 49496, '64.233.164.16', 993]"
361,"['10.152.152.11', 49496, '64.233.164.16', 993]"
362,"['64.233.164.16', 993, '10.152.152.11', 49496]"
363,"['64.233.164.16', 993, '10.152.152.11', 49496]"
364,"['10.152.152.11', 49496, '64.233.164.16', 993]"
365,"['64.233.164.16', 993, '10.152.152.11', 49496]"
366,"['10.152.152.11', 49496, '64.233.164.16', 993]"
367,"['64.233.164.16', 993, '10.152.152.11', 49496]"
368,"['64.233.164.16', 993, '10.152.152.11', 49496]"
369,"['64.233.164.16', 993, '10.152.152.11', 49496]"
370,"['10.152.152.11', 49496, '64.233.164.16', 993]"
371,"['64.233.164.16', 993, '10.152.152.11', 49496]"
372,"['64.233.164.16', 993, '10.152.152.11', 49496]"
373,"['10.152.152.11', 49496, '64.233.164.16', 993]"
374,"['64.233.164.16', 993, '10.152.152.11', 49496]"
375,"['64.233.164.16', 993, '10.152.152.11', 49496]"
376,"['10.152.152.11', 49496, '64.233.164.16', 993]"
377,"['64.233.164.16', 993, '10.152.152.11', 49496]"
378,"['10.152.152.11', 49496, '64.233.164.16', 993]"
379,"['64.233.164.16', 993, '10.152.152.11', 49496]"
380,"['64.233.164.16', 993, '10.152.152.11', 49496]"
381,"['64.233.164.16', 993, '10.152.152.11', 49496]"
382,"['10.152.152.11', 49496, '64.233.164.16', 993]"
383,"['64.233.164.16', 993, '10.152.152.11', 49496]"
384,"['64.233.164.16', 993, '10.152.152.11', 49496]"
385,"['64.233.164.16', 993, '10.152.152.11', 49496]"
386,"['64.233.164.16', 993, '10.152.152.11', 49496]"
387,"['10.152.152.11', 49496, '64.233.164.16', 993]"
388,"['64.233.164.16', 993, '10.152.152.11', 49496]"
389,"['64.233.164.16', 993, '10.152.152.11', 49496]"
390,"['10.152.152.11', 49496, '64.233.164.16', 993]"
391,"['64.233.164.16', 993, '10.152.152.11', 49496]"
392,"['10.152.152.11', 49496, '64.233.164.16', 993]"
393,"['64.233.164.16', 993, '10.152.152.11', 49496]"
394,"['64.233.164.16', 993, '10.152.152.11', 49496]"
395,"['64.233.164.16', 993, '10.152.152.11', 49496]"
396,"['10.152.152.11', 49496, '64.233.164.16', 993]"
397,"['64.233.164.16', 993, '10.152.152.11', 49496]"
398,"['64.233.164.16', 993, '10.152.152.11', 49496]"
399,"['10.152.152.11', 49496, '64.233.164.16', 993]"
400,"['64.233.164.16', 993, '10.152.152.11', 49496]"
401,"['64.233.164.16', 993, '10.152.152.11', 49496]"
402,"['10.152.152.11', 49496, '64.233.164.16', 993]"
403,"['64.233.164.16', 993, '10.152.152.11', 49496]"
404,"['64.233.164.16', 993, '10.152.152.11', 49496]"
405,"['10.152.152.11', 49496, '64.233.164.16', 993]"
406,"['10.152.152.11', 58788, '74.125.21.16', 993]"
407,"['64.233.164.16', 993, '10.152.152.11', 49496]"
408,"['64.233.164.16', 993, '10.152.152.11', 49496]"
409,"['10.152.152.11', 49496, '64.233.164.16', 993]"
410,"['64.233.164.16', 993, '10.152.152.11', 49496]"
411,"['64.233.164.16', 993, '10.152.152.11', 49496]"
412,"['10.152.152.11', 49496, '64.233.164.16', 993]"
413,"['64.233.164.16', 993, '10.152.152.11', 49496]"
414,"['64.233.164.16', 993, '10.152.152.11', 49496]"
415,"['10.152.152.11', 49496, '64.233.164.16', 993]"
416,"['64.233.164.16', 993, '10.152.152.11', 49496]"
417,"['10.152.152.11', 49496, '64.233.164.16', 993]"
418,"['64.233.164.16', 993, '10.152.152.11', 49496]"
419,"['64.233.164.16', 993, '10.152.152.11', 49496]"
420,"['64.233.164.16', 993, '10.152.152.11', 49496]"
421,"['10.152.152.11', 49496, '64.233.164.16', 993]"
422,"['64.233.164.16', 993, '10.152.152.11', 49496]"
423,"['64.233.164.16', 993, '10.152.152.11', 49496]"
424,"['10.152.152.11', 49496, '64.233.164.16', 993]"
425,"['64.233.164.16', 993, '10.152.152.11', 49496]"
426,"['64.233.164.16', 993, '10.152.152.11', 49496]"
427,"['10.152.152.11', 49496, '64.233.164.16', 993]"
428,"['64.233.164.16', 993, '10.152.152.11', 49496]"
429,"['10.152.152.11', 49496, '64.233.164.16', 993]"
430,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
431,"['64.233.164.16', 993, '10.152.152.11', 49496]"
432,"['64.233.164.16', 993, '10.152.152.11', 49496]"
433,"['64.233.164.16', 993, '10.152.152.11', 49496]"
434,"['10.152.152.11', 49496, '64.233.164.16', 993]"
435,"['64.233.164.16', 993, '10.152.152.11', 49496]"
436,"['64.233.164.16', 993, '10.152.152.11', 49496]"
437,"['10.152.152.11', 49496, '64.233.164.16', 993]"
438,"['64.233.164.16', 993, '10.152.152.11', 49496]"
439,"['64.233.164.16', 993, '10.152.152.11', 49496]"
440,"['64.233.164.16', 993, '10.152.152.11', 49496]"
441,"['10.152.152.11', 49496, '64.233.164.16', 993]"
442,"['64.233.164.16', 993, '10.152.152.11', 49496]"
443,"['10.152.152.11', 49496, '64.233.164.16', 993]"
444,"['64.233.164.16', 993, '10.152.152.11', 49496]"
445,"['64.233.164.16', 993, '10.152.152.11', 49496]"
446,"['10.152.152.11', 49496, '64.233.164.16', 993]"
447,"['64.233.164.16', 993, '10.152.152.11', 49496]"
448,"['10.152.152.11', 49496, '64.233.164.16', 993]"
449,"['64.233.164.16', 993, '10.152.152.11', 49496]"
450,"['64.233.164.16', 993, '10.152.152.11', 49496]"
451,"['64.233.164.16', 993, '10.152.152.11', 49496]"
452,"['10.152.152.11', 49496, '64.233.164.16', 993]"
453,"['64.233.164.16', 993, '10.152.152.11', 49496]"
454,"['64.233.164.16', 993, '10.152.152.11', 49496]"
455,"['10.152.152.11', 49496, '64.233.164.16', 993]"
456,"['64.233.164.16', 993, '10.152.152.11', 49496]"
457,"['10.152.152.11', 49496, '64.233.164.16', 993]"
458,"['64.233.164.16', 993, '10.152.152.11', 49496]"
459,"['64.233.164.16', 993, '10.152.152.11', 49496]"
